theme_id,ticker,mapping_source,parent_group,asset_track,venue_note,pit_status
semiconductors,NVDA,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,AMD,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,TSM,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,AVGO,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,ASML,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,MU,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,INTC,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,ARM,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,QCOM,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,MRVL,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,TXN,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,LRCX,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,KLAC,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
semiconductors,AMAT,production_SECTORS_current_static,半导体,stock,none,CLASSIFICATION_CURRENT
software,MSFT,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,ORCL,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,CRM,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,ADBE,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,NOW,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,SNOW,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,PLTR,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,PANW,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,NET,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,CRWD,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,DDOG,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
software,MDB,production_SECTORS_current_static,软件基础设施,stock,none,CLASSIFICATION_CURRENT
ai_cloud,NVDA,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,MSFT,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,GOOGL,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,AMZN,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,META,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,PLTR,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,SMCI,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,ANET,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,DELL,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
ai_cloud,CRWV,production_SECTORS_current_static,AI 与云,stock,none,CLASSIFICATION_CURRENT
biotech,LLY,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,NVO,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,ABBV,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,AMGN,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,GILD,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,VRTX,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,REGN,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,BIIB,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,MRNA,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
biotech,BNTX,production_SECTORS_current_static,生物技术,stock,none,CLASSIFICATION_CURRENT
healthcare,UNH,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,JNJ,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,PFE,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,MRK,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,TMO,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,ABT,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,DHR,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,ISRG,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,MDT,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
healthcare,BMY,production_SECTORS_current_static,医疗保健,stock,none,CLASSIFICATION_CURRENT
consumer_electronics,AAPL,production_SECTORS_current_static,消费电子,stock,none,CLASSIFICATION_CURRENT
consumer_electronics,SONY,production_SECTORS_current_static,消费电子,stock,none,CLASSIFICATION_CURRENT
consumer_electronics,DELL,production_SECTORS_current_static,消费电子,stock,none,CLASSIFICATION_CURRENT
consumer_electronics,HPQ,production_SECTORS_current_static,消费电子,stock,none,CLASSIFICATION_CURRENT
consumer_electronics,LOGI,production_SECTORS_current_static,消费电子,stock,none,CLASSIFICATION_CURRENT
automotive,TSLA,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,RIVN,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,F,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,GM,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,LCID,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,NIO,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,LI,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,XPEV,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,STLA,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
automotive,TM,production_SECTORS_current_static,汽车 / EV,stock,none,CLASSIFICATION_CURRENT
ev_supply,TSLA,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,LCID,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,RIVN,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,ALB,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,PLUG,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,BLNK,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,CHPT,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,ENPH,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,FSLR,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
ev_supply,RUN,production_SECTORS_current_static,电动车供应链,stock,none,CLASSIFICATION_CURRENT
finance,JPM,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,BAC,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,WFC,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,C,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,GS,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,MS,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,USB,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,PNC,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,TFC,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
finance,SCHW,production_SECTORS_current_static,大型银行,stock,none,CLASSIFICATION_CURRENT
fintech,V,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,MA,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,PYPL,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,XYZ,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,AXP,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,COIN,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,HOOD,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,SOFI,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,AFRM,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
fintech,UPST,production_SECTORS_current_static,金融科技,stock,none,CLASSIFICATION_CURRENT
retail,AMZN,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,WMT,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,COST,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,HD,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,TGT,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,LOW,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,NKE,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,SBUX,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,MCD,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
retail,TJX,production_SECTORS_current_static,零售消费,stock,none,CLASSIFICATION_CURRENT
luxury,LVMUY,production_SECTORS_current_static,奢侈品,stock,OTC_EXCLUDED,CLASSIFICATION_CURRENT
luxury,RMS.PA,production_SECTORS_current_static,奢侈品,stock,NON_US_LISTING,CLASSIFICATION_CURRENT
luxury,CFRUY,production_SECTORS_current_static,奢侈品,stock,OTC_EXCLUDED,CLASSIFICATION_CURRENT
luxury,EL,production_SECTORS_current_static,奢侈品,stock,none,CLASSIFICATION_CURRENT
luxury,TPR,production_SECTORS_current_static,奢侈品,stock,none,CLASSIFICATION_CURRENT
luxury,RL,production_SECTORS_current_static,奢侈品,stock,none,CLASSIFICATION_CURRENT
luxury,PVH,production_SECTORS_current_static,奢侈品,stock,none,CLASSIFICATION_CURRENT
media_streaming,NFLX,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
media_streaming,DIS,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
media_streaming,WBD,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
media_streaming,PSKY,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
media_streaming,ROKU,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
media_streaming,SPOT,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
media_streaming,FUBO,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
media_streaming,TKO,production_SECTORS_current_static,媒体与流媒体,stock,none,CLASSIFICATION_CURRENT
social_internet,META,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
social_internet,GOOGL,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
social_internet,SNAP,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
social_internet,PINS,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
social_internet,RDDT,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
social_internet,BIDU,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
social_internet,BABA,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
social_internet,PDD,production_SECTORS_current_static,社交与互联网,stock,none,CLASSIFICATION_CURRENT
energy,XOM,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,CVX,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,COP,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,SLB,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,EOG,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,MPC,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,VLO,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,PSX,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,OXY,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
energy,DVN,production_SECTORS_current_static,能源,stock,none,CLASSIFICATION_CURRENT
utilities,NEE,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,DUK,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,SO,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,AEP,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,EXC,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,SRE,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,D,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,PCG,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,VST,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
utilities,CEG,production_SECTORS_current_static,电力公用,stock,none,CLASSIFICATION_CURRENT
defense_aero,LMT,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,RTX,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,NOC,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,GD,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,BA,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,LHX,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,TDG,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,HEI,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
defense_aero,TXT,production_SECTORS_current_static,国防航空,stock,none,CLASSIFICATION_CURRENT
airlines,DAL,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
airlines,UAL,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
airlines,AAL,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
airlines,LUV,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
airlines,ALK,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
airlines,JBLU,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
airlines,RYAAY,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
airlines,CPA,production_SECTORS_current_static,航空运输,stock,none,CLASSIFICATION_CURRENT
real_estate,PLD,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,AMT,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,EQIX,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,CCI,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,SPG,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,O,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,PSA,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,DLR,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,WELL,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
real_estate,VICI,production_SECTORS_current_static,房地产,stock,none,CLASSIFICATION_CURRENT
crypto,COIN,production_SECTORS_current_static,加密相关,stock,none,CLASSIFICATION_CURRENT
crypto,MARA,production_SECTORS_current_static,加密相关,stock,none,CLASSIFICATION_CURRENT
crypto,RIOT,production_SECTORS_current_static,加密相关,stock,none,CLASSIFICATION_CURRENT
